time,orderParameter
0,0.12525099066465303
10,0.2637208833080972
20,0.2766089516907391
30,0.306260936432797
40,0.265618256924351
50,0.23595124069116738
60,0.22201278078518555
70,0.1864140668943124
80,0.11952776913865165
90,0.268643759301403
100,0.3786114434428151
110,0.42240621608798634
120,0.4434532721002357
130,0.4834440455179936
140,0.5550556340004236
150,0.5926844073688137
160,0.5689353196220959
170,0.5553388108142632
180,0.374392815446371
190,0.46711476524398066
200,0.5407986167687877
210,0.6126604149319685
220,0.6732919639839156
230,0.6787002518638217
240,0.6825737170130388
250,0.703542895804031
260,0.7102360032346136
270,0.6816716890510024
280,0.6757898383798419
290,0.6589954376967051
300,0.6183671781234098
310,0.6060671639956103
320,0.5499930831025952
330,0.5819485025917478
340,0.5782676027906227
350,0.5759692436842422
360,0.5623816958735687
370,0.6039743882386995
380,0.6357953710584983
390,0.6884803143775552
400,0.7064660632902082
410,0.7077388285355358
420,0.7145207724285876
430,0.6551884176613453
440,0.6131731636862536
450,0.5344822046439418
460,0.4741031565094551
470,0.44274348373636147
480,0.3401630079258197
490,0.4028122135466709
500,0.41494725627903756
510,0.44230146329923303
520,0.48307311711491907
530,0.5081252798668089
540,0.5206892542706606
550,0.47695654007902005
560,0.5043350431246457
570,0.5319373841838364
580,0.5700790643893817
590,0.6085034415214272
600,0.6388467718834413
610,0.6584237753535622
620,0.6739068044126264
630,0.664569859610082
640,0.6411886203122372
650,0.626347263754104
660,0.6152636850812144
670,0.6160774358776268
680,0.6251065848464893
690,0.6244561269858461
700,0.6260501885629
710,0.6594978342505736
720,0.8166243145708607
730,0.7013639112053218
740,0.7024487178673503
750,0.7256434635116965
760,0.704658071784886
770,0.6566244826036702
780,0.596749007176904
790,0.6270089865230816
800,0.6538161729530526
810,0.6712621306761873
820,0.6706437454439724
830,0.6402763278348259
840,0.592323117390495
850,0.5905831833533002
860,0.6011920910798767
870,0.6034554732339822
880,0.5782576970778746
890,0.5531580448587282
900,0.5631945169203187
910,0.5298267815436712
920,0.5237101594363267
930,0.505394644681116
940,0.5289220623719811
950,0.6022992117173397
960,0.6481565063972446
970,0.6524905414346133
980,0.6117494295676318
990,0.5862849079492288
1000,0.5551628352402164
