time,orderParameter
0,0.12473109517425775
10,0.48699615769199917
20,0.33450246249415033
30,0.18396592806592282
40,0.05718216024671114
50,0.16651697402855795
60,0.13765237399101943
70,0.22346040706635711
80,0.06254018556838856
90,0.11175711211023177
100,0.10418515426489368
110,0.1445308683009689
120,0.3405686893003869
130,0.39597355854559774
140,0.3118780357629419
150,0.32244505061952944
160,0.593293291922448
170,0.6654416387689588
180,0.6721804690312284
190,0.7031489295714957
200,0.8048707389120463
210,0.9025492696910803
220,0.8726406938390445
230,0.9162082731280067
240,0.9010680133109519
250,0.931288924603711
260,0.9258895692698281
270,0.9610477853312749
280,0.9649811727816661
290,0.9758984427533791
300,0.9579862756589566
310,0.9695224132224101
320,0.9533431676524351
330,0.9518121192048392
340,0.943331744028661
350,0.9788439614071032
360,0.9904011085073734
370,0.9854817598949888
380,0.9770327658233994
390,0.9873191727819532
400,0.9749209590495522
410,0.9831131157133127
420,0.9863282131347989
430,0.986022274232458
440,0.9730464384329938
450,0.9945049840479608
460,0.9947167015643835
470,0.9968387800742924
480,0.9946261477010645
490,0.9933538948976927
500,0.9942597566641648
510,0.9884543528747336
520,0.97899134816422
530,0.9747091581741826
540,0.9926058604889392
550,0.9603334974616806
560,0.9562931814139546
570,0.9921706743179517
580,0.9930339966015979
590,0.9950229447083347
600,0.9946656777862449
610,0.9918018263818784
620,0.9932924529215497
630,0.9909017099338234
640,0.995203722681349
650,0.9564984520453215
660,0.9605576502553153
670,0.9652651151542164
680,0.9681015431145571
690,0.9670479318482131
700,0.9749764419714952
710,0.9749262081221756
720,0.9511138713291832
730,0.96326075201483
740,0.9648345886392008
750,0.9492730938592557
760,0.9656404923954132
770,0.9788117405680318
780,0.9437526033822773
790,0.9656083334997122
800,0.9756871513758909
810,0.9829525991935781
820,0.9878963081403676
830,0.988838920677582
840,0.9943697089848602
850,0.9909049897486983
860,0.9895997846740968
870,0.9883726891495763
880,0.8528741258233187
890,0.9086372643606476
900,0.9175016256623292
910,0.9239437281592682
920,0.9241634912854557
930,0.9175426182900126
940,0.7502068081539731
950,0.8782761980311057
960,0.9247297205738809
970,0.9183907627456966
980,0.9288572254855418
990,0.9312811007288159
1000,0.9395780923202827
